fecha,PART_Media,PART_Mediana,PART_Max,PART_Min,dir,prec,presMax,presMin,racha,sol,tmax,tmed,tmin,velmedia,resultado
2017-01-01,61.680555555555564,43.5,167.0,22.0,99.0,0.0,962.2,955.4,3.6,7.8,13.5,5.4,-2.7,0.6,32.74856410551073
2017-01-02,32.77704047504818,30.79478346456693,63.6496062992126,17.135826771653544,16.0,0.0,957.2,952.7,5.8,8.8,16.7,7.4,-2.0,1.7,32.74856410551073
2017-01-03,32.77704047504818,30.79478346456693,63.6496062992126,17.135826771653544,11.0,0.0,961.1,956.9,3.6,7.4,16.5,7.7,-1.1,0.8,63.27083333333334
2017-01-04,63.27083333333334,58.5,112.0,37.0,25.0,0.0,961.7,958.0,4.7,4.2,17.2,9.0,0.7,0.6,43.570422535211264
2017-01-05,43.570422535211264,40.0,151.0,17.0,99.0,0.0,958.8,954.6,4.7,6.1,17.3,9.6,1.8,0.3,32.229166666666664
2017-01-06,32.229166666666664,28.0,63.0,16.0,21.0,0.0,961.5,957.6,6.7,9.1,16.9,7.8,-1.2,1.1,37.944444444444436
2017-01-07,37.944444444444436,30.0,75.0,18.0,99.0,0.0,963.1,959.8,2.2,9.1,16.4,7.9,-0.6,0.6,50.72222222222222
2017-01-08,50.72222222222222,45.0,92.0,27.0,20.0,0.0,961.8,957.8,4.7,8.9,16.3,6.4,-3.4,0.8,43.986111111111114
2017-01-09,43.986111111111114,42.0,90.0,16.0,26.0,0.0,959.8,955.9,4.7,9.2,17.3,6.6,-4.1,0.3,39.401408450704224
2017-01-10,39.401408450704224,36.0,77.0,17.0,99.0,0.0,957.5,950.1,7.2,5.2,12.4,4.4,-3.5,1.1,22.72916666666667
2017-01-11,22.72916666666667,25.0,36.0,9.0,3.0,0.0,960.8,951.9,10.8,8.7,16.9,8.4,-0.2,2.2,32.74856410551073
2017-01-12,32.77704047504818,30.79478346456693,63.6496062992126,17.135826771653544,27.0,0.0,962.2,956.8,4.7,9.3,17.6,8.4,-0.8,1.4,37.47222222222222
2017-01-13,37.47222222222222,36.0,62.0,21.0,99.0,0.0,957.5,954.0,10.8,9.0,14.4,6.9,-0.6,2.2,21.76388888888889
2017-01-14,21.76388888888889,23.0,39.0,8.0,3.0,0.0,960.9,956.7,13.9,8.8,11.1,5.0,-1.1,4.4,13.604166666666664
2017-01-15,13.604166666666664,12.0,28.0,7.0,3.0,0.0,962.2,958.7,12.5,9.3,11.9,4.2,-3.6,4.7,20.375
2017-01-16,20.375,18.0,36.0,13.0,4.0,0.0,960.0,954.6,10.8,9.4,14.5,6.0,-2.5,3.6,32.74856410551073
2017-01-17,32.77704047504818,30.79478346456693,63.6496062992126,17.135826771653544,3.0,0.0,954.8,949.2,10.8,9.2,15.7,6.4,-2.9,1.1,20.83333333333333
2017-01-18,20.83333333333333,19.0,42.0,7.0,3.0,0.0,951.0,947.0,12.5,2.0,5.5,-0.2,-5.9,1.7,16.88888888888889
2017-01-19,16.88888888888889,14.0,33.0,9.0,3.0,0.0,948.4,944.5,13.3,2.9,7.6,3.9,0.2,2.5,27.20138888888889
2017-01-20,27.20138888888889,24.5,64.0,9.0,99.0,0.0,950.1,944.7,4.2,0.9,9.6,4.0,-1.7,0.6,31.402777777777782
2017-01-21,31.402777777777782,33.0,68.0,10.0,3.0,0.0,950.9,947.3,9.7,4.4,11.9,3.7,-4.5,1.1,25.12389380530973
2017-01-22,25.12389380530973,23.0,58.0,13.0,35.0,0.0,951.6,949.0,9.2,8.4,14.5,6.8,-0.9,2.2,36.743055555555564
2017-01-23,36.743055555555564,37.0,73.0,11.0,99.0,0.0,955.4,950.3,7.2,7.5,14.0,5.0,-4.1,1.4,38.319444444444436
2017-01-24,38.319444444444436,37.0,67.0,16.0,33.0,0.0,958.2,955.0,7.2,9.5,15.3,5.6,-4.1,1.1,43.88888888888889
2017-01-25,43.88888888888889,36.5,86.0,19.0,27.0,0.0,958.0,952.3,8.9,9.5,15.0,5.2,-4.5,2.5,48.506944444444436
2017-01-26,48.506944444444436,43.0,111.0,20.0,99.0,0.6,953.9,946.2,12.5,2.4,12.3,4.8,-2.8,1.1,8.07638888888889
2017-01-27,8.07638888888889,8.0,18.0,3.0,29.0,4.2,953.2,945.0,18.1,2.6,10.9,8.4,5.9,5.6,13.736111111111109
2017-01-28,13.736111111111109,11.0,40.0,7.0,32.0,0.0,960.4,953.2,10.3,8.2,13.1,8.4,3.6,4.4,28.90839694656489
2017-01-29,28.90839694656489,24.0,69.0,0.0,22.0,0.0,960.5,957.3,5.0,7.3,17.4,9.0,0.7,0.8,32.951388888888886
2017-01-30,32.951388888888886,33.0,55.0,12.0,17.0,0.0,960.2,952.9,5.0,9.7,20.9,10.6,0.2,1.1,31.72916666666667
2017-01-31,31.72916666666667,28.0,83.0,11.0,23.0,0.0,952.9,948.2,6.7,9.5,21.9,11.2,0.5,1.4,26.972222222222218
2017-02-01,26.972222222222218,23.0,64.0,11.0,28.0,0.0,954.7,951.9,8.3,9.6,17.6,8.8,0.1,2.8,33.291666666666664
2017-02-02,33.291666666666664,29.5,102.0,4.0,99.0,0.9,956.0,951.2,5.0,0.2,15.2,9.2,3.3,1.1,29.13475177304965
2017-02-03,29.13475177304965,27.0,65.0,0.0,99.0,0.05,957.9,955.1,11.4,6.8,16.2,11.0,5.8,2.2,21.95138888888889
2017-02-04,21.95138888888889,22.0,37.0,8.0,27.0,4.6,958.3,955.0,10.8,1.6,16.4,12.0,7.6,3.1,13.68
2017-02-05,13.68,13.0,30.0,5.0,31.0,0.1,963.1,953.0,17.5,4.6,14.9,11.2,7.6,6.7,22.22916666666667
2017-02-06,22.22916666666667,19.5,48.0,8.0,99.0,0.0,964.5,961.1,9.2,9.9,17.3,10.0,2.6,1.4,27.42361111111111
2017-02-07,27.42361111111111,27.0,63.0,9.0,34.0,0.0,962.2,956.6,9.7,5.0,17.7,9.3,0.9,2.2,15.402777777777779
2017-02-08,15.402777777777779,13.0,35.0,6.0,4.0,0.0,959.8,957.4,10.3,10.0,15.3,8.9,2.5,3.1,39.083333333333336
2017-02-09,39.083333333333336,37.0,90.0,10.0,16.0,0.0,959.0,947.1,8.3,8.4,18.6,7.8,-3.1,1.4,20.17361111111111
2017-02-10,20.17361111111111,16.0,48.0,3.0,27.0,21.7,947.7,945.1,10.8,0.0,7.1,3.8,0.6,1.9,10.481751824817518
2017-02-11,10.481751824817518,10.0,31.0,0.0,12.0,2.9,945.3,936.9,10.8,3.4,14.5,9.6,4.7,2.8,13.583333333333336
2017-02-12,13.583333333333336,12.5,43.0,1.0,15.0,6.4,938.1,931.9,15.3,3.7,18.0,13.2,8.3,5.3,12.5
2017-02-13,12.5,8.0,49.0,2.0,27.0,0.4,953.0,933.4,12.5,3.4,15.6,10.1,4.6,3.9,27.77083333333333
2017-02-14,27.77083333333333,28.0,68.0,10.0,99.0,0.0,959.2,952.9,4.2,6.3,17.0,8.8,0.7,0.3,25.368055555555557
2017-02-15,25.368055555555557,20.0,95.0,10.0,16.0,0.0,962.2,958.4,7.8,9.6,19.0,10.0,1.1,0.8,31.574626865671643
2017-02-16,31.574626865671643,29.0,65.0,11.0,99.0,0.0,962.7,959.5,8.3,9.0,18.5,10.8,3.1,3.1,50.95833333333334
2017-02-17,50.95833333333334,50.5,68.0,36.0,17.0,0.0,961.3,956.9,5.8,6.8,17.8,11.0,4.1,1.1,68.29166666666667
2017-02-18,68.29166666666667,68.0,103.0,44.0,99.0,3.6,958.4,951.1,3.6,2.5,15.8,9.3,2.8,0.3,28.20833333333333
