fecha,PART_Media,PART_Mediana,PART_Max,PART_Min,dir,prec,presMax,presMin,racha,sol,tmax,tmed,tmin,velmedia,resultado
2017-01-01,42.97222222222222,43.5,119.0,11.0,99.0,0.0,962.2,955.4,3.6,7.8,13.5,5.4,-2.7,0.6,29.75748404416221
2017-01-02,29.770276627103215,28.5135527589545,65.20425943852855,13.267182962245887,16.0,0.0,957.2,952.7,5.8,8.8,16.7,7.4,-2.0,1.7,29.75748404416221
2017-01-03,29.770276627103215,28.5135527589545,65.20425943852855,13.267182962245887,11.0,0.0,961.1,956.9,3.6,7.4,16.5,7.7,-1.1,0.8,56.125
2017-01-04,56.125,61.5,106.0,11.0,25.0,0.0,961.7,958.0,4.7,4.2,17.2,9.0,0.7,0.6,41.0979020979021
2017-01-05,41.0979020979021,36.0,76.0,18.0,99.0,0.0,958.8,954.6,4.7,6.1,17.3,9.6,1.8,0.3,32.611111111111114
2017-01-06,32.611111111111114,35.5,56.0,11.0,21.0,0.0,961.5,957.6,6.7,9.1,16.9,7.8,-1.2,1.1,37.84027777777778
2017-01-07,37.84027777777778,35.5,104.0,12.0,99.0,0.0,963.1,959.8,2.2,9.1,16.4,7.9,-0.6,0.6,39.423611111111114
2017-01-08,39.423611111111114,40.0,76.0,12.0,20.0,0.0,961.8,957.8,4.7,8.9,16.3,6.4,-3.4,0.8,46.069444444444436
2017-01-09,46.069444444444436,39.5,106.0,14.0,26.0,0.0,959.8,955.9,4.7,9.2,17.3,6.6,-4.1,0.3,50.986111111111114
2017-01-10,50.986111111111114,49.0,102.0,19.0,99.0,0.0,957.5,950.1,7.2,5.2,12.4,4.4,-3.5,1.1,23.70138888888889
2017-01-11,23.70138888888889,26.0,70.0,5.0,3.0,0.0,960.8,951.9,10.8,8.7,16.9,8.4,-0.2,2.2,29.75748404416221
2017-01-12,29.770276627103215,28.5135527589545,65.20425943852855,13.267182962245887,27.0,0.0,962.2,956.8,4.7,9.3,17.6,8.4,-0.8,1.4,43.16083916083916
2017-01-13,43.16083916083916,39.0,98.0,13.0,99.0,0.0,957.5,954.0,10.8,9.0,14.4,6.9,-0.6,2.2,20.972222222222218
2017-01-14,20.972222222222218,16.0,46.0,5.0,3.0,0.0,960.9,956.7,13.9,8.8,11.1,5.0,-1.1,4.4,15.479166666666664
2017-01-15,15.479166666666664,14.0,77.0,5.0,3.0,0.0,962.2,958.7,12.5,9.3,11.9,4.2,-3.6,4.7,22.319444444444446
2017-01-16,22.319444444444446,21.0,74.0,6.0,4.0,0.0,960.0,954.6,10.8,9.4,14.5,6.0,-2.5,3.6,25.705882352941174
2017-01-17,25.705882352941174,22.0,61.0,7.0,3.0,0.0,954.8,949.2,10.8,9.2,15.7,6.4,-2.9,1.1,19.340277777777782
2017-01-18,19.340277777777782,13.0,52.0,9.0,3.0,0.0,951.0,947.0,12.5,2.0,5.5,-0.2,-5.9,1.7,14.979166666666664
2017-01-19,14.979166666666664,14.0,39.0,6.0,3.0,0.0,948.4,944.5,13.3,2.9,7.6,3.9,0.2,2.5,29.17361111111111
2017-01-20,29.17361111111111,27.0,86.0,18.0,99.0,0.0,950.1,944.7,4.2,0.9,9.6,4.0,-1.7,0.6,36.60416666666666
2017-01-21,36.60416666666666,36.0,71.0,10.0,3.0,0.0,950.9,947.3,9.7,4.4,11.9,3.7,-4.5,1.1,24.48611111111111
2017-01-22,24.48611111111111,24.0,65.0,7.0,35.0,0.0,951.6,949.0,9.2,8.4,14.5,6.8,-0.9,2.2,36.72222222222222
2017-01-23,36.72222222222222,31.5,79.0,15.0,99.0,0.0,955.4,950.3,7.2,7.5,14.0,5.0,-4.1,1.4,40.006944444444436
2017-01-24,40.006944444444436,38.0,88.0,13.0,33.0,0.0,958.2,955.0,7.2,9.5,15.3,5.6,-4.1,1.1,41.85416666666666
