fecha,PART_Media,PART_Mediana,PART_Max,PART_Min,dir,prec,presMax,presMin,racha,sol,tmax,tmed,tmin,velmedia,resultado
2017-01-01,21.25,20.0,50.0,10.0,99.0,0.0,962.2,955.4,3.6,7.8,13.5,5.4,-2.7,0.6,26.41145433083579
2017-01-02,26.40640892093273,24.07429130009775,72.01270772238514,11.64516129032258,16.0,0.0,957.2,952.7,5.8,8.8,16.7,7.4,-2.0,1.7,26.41145433083579
2017-01-03,26.40640892093273,24.07429130009775,72.01270772238514,11.64516129032258,11.0,0.0,961.1,956.9,3.6,7.4,16.5,7.7,-1.1,0.8,47.548611111111114
2017-01-04,47.548611111111114,49.0,88.0,8.0,25.0,0.0,961.7,958.0,4.7,4.2,17.2,9.0,0.7,0.6,23.907801418439718
2017-01-05,23.907801418439718,19.0,63.0,10.0,99.0,0.0,958.8,954.6,4.7,6.1,17.3,9.6,1.8,0.3,18.11111111111111
2017-01-06,18.11111111111111,18.0,44.0,5.0,21.0,0.0,961.5,957.6,6.7,9.1,16.9,7.8,-1.2,1.1,21.868055555555557
2017-01-07,21.868055555555557,20.0,42.0,11.0,99.0,0.0,963.1,959.8,2.2,9.1,16.4,7.9,-0.6,0.6,21.756944444444446
2017-01-08,21.756944444444446,19.5,58.0,5.0,20.0,0.0,961.8,957.8,4.7,8.9,16.3,6.4,-3.4,0.8,29.66666666666667
2017-01-09,29.66666666666667,20.5,128.0,8.0,26.0,0.0,959.8,955.9,4.7,9.2,17.3,6.6,-4.1,0.3,35.97222222222222
2017-01-10,35.97222222222222,36.0,85.0,8.0,99.0,0.0,957.5,950.1,7.2,5.2,12.4,4.4,-3.5,1.1,17.95138888888889
2017-01-11,17.95138888888889,21.5,41.0,5.0,3.0,0.0,960.8,951.9,10.8,8.7,16.9,8.4,-0.2,2.2,26.41145433083579
2017-01-12,26.40640892093273,24.07429130009775,72.01270772238514,11.64516129032258,27.0,0.0,962.2,956.8,4.7,9.3,17.6,8.4,-0.8,1.4,28.097222222222218
2017-01-13,28.097222222222218,25.0,87.0,5.0,99.0,0.0,957.5,954.0,10.8,9.0,14.4,6.9,-0.6,2.2,15.25
2017-01-14,15.25,9.5,47.0,5.0,3.0,0.0,960.9,956.7,13.9,8.8,11.1,5.0,-1.1,4.4,10.618055555555557
2017-01-15,10.618055555555557,9.0,47.0,5.0,3.0,0.0,962.2,958.7,12.5,9.3,11.9,4.2,-3.6,4.7,14.444444444444445
2017-01-16,14.444444444444445,11.0,50.0,5.0,4.0,0.0,960.0,954.6,10.8,9.4,14.5,6.0,-2.5,3.6,20.722222222222218
2017-01-17,20.722222222222218,20.5,67.0,5.0,3.0,0.0,954.8,949.2,10.8,9.2,15.7,6.4,-2.9,1.1,9.625
2017-01-18,9.625,5.0,49.0,1.0,3.0,0.0,951.0,947.0,12.5,2.0,5.5,-0.2,-5.9,1.7,14.713286713286712
2017-01-19,14.713286713286712,12.0,40.0,3.0,3.0,0.0,948.4,944.5,13.3,2.9,7.6,3.9,0.2,2.5,26.41666666666667
2017-01-20,26.41666666666667,24.0,75.0,14.0,99.0,0.0,950.1,944.7,4.2,0.9,9.6,4.0,-1.7,0.6,20.305555555555557
2017-01-21,20.305555555555557,15.0,51.0,4.0,3.0,0.0,950.9,947.3,9.7,4.4,11.9,3.7,-4.5,1.1,18.125
2017-01-22,18.125,19.0,42.0,6.0,35.0,0.0,951.6,949.0,9.2,8.4,14.5,6.8,-0.9,2.2,22.409722222222218
2017-01-23,22.409722222222218,16.0,55.0,7.0,99.0,0.0,955.4,950.3,7.2,7.5,14.0,5.0,-4.1,1.4,25.159722222222218
2017-01-24,25.159722222222218,23.5,56.0,8.0,33.0,0.0,958.2,955.0,7.2,9.5,15.3,5.6,-4.1,1.1,26.97916666666667
2017-01-25,26.97916666666667,23.5,76.0,9.0,27.0,0.0,958.0,952.3,8.9,9.5,15.0,5.2,-4.5,2.5,28.875
2017-01-26,28.875,18.0,95.0,3.0,99.0,0.6,953.9,946.2,12.5,2.4,12.3,4.8,-2.8,1.1,7.1180555555555545
2017-01-27,7.1180555555555545,7.0,18.0,1.0,29.0,4.2,953.2,945.0,18.1,2.6,10.9,8.4,5.9,5.6,9.215277777777779
2017-01-28,9.215277777777779,7.0,24.0,5.0,32.0,0.0,960.4,953.2,10.3,8.2,13.1,8.4,3.6,4.4,21.762237762237763
2017-01-29,21.762237762237763,21.0,53.0,6.0,22.0,0.0,960.5,957.3,5.0,7.3,17.4,9.0,0.7,0.8,21.45138888888889
2017-01-30,21.45138888888889,20.0,50.0,6.0,17.0,0.0,960.2,952.9,5.0,9.7,20.9,10.6,0.2,1.1,15.840277777777779
2017-01-31,15.840277777777779,12.0,83.0,3.0,23.0,0.0,952.9,948.2,6.7,9.5,21.9,11.2,0.5,1.4,18.63888888888889
2017-02-01,18.63888888888889,18.0,62.0,5.0,28.0,0.0,954.7,951.9,8.3,9.6,17.6,8.8,0.1,2.8,24.56338028169014
2017-02-02,24.56338028169014,22.0,89.0,7.0,99.0,0.9,956.0,951.2,5.0,0.2,15.2,9.2,3.3,1.1,27.090277777777782
2017-02-03,27.090277777777782,26.0,45.0,18.0,99.0,0.05,957.9,955.1,11.4,6.8,16.2,11.0,5.8,2.2,18.125
2017-02-04,18.125,19.5,34.0,8.0,27.0,4.6,958.3,955.0,10.8,1.6,16.4,12.0,7.6,3.1,10.763888888888891
2017-02-05,10.763888888888891,11.0,19.0,2.0,31.0,0.1,963.1,953.0,17.5,4.6,14.9,11.2,7.6,6.7,14.833333333333336
2017-02-06,14.833333333333336,14.0,43.0,6.0,99.0,0.0,964.5,961.1,9.2,9.9,17.3,10.0,2.6,1.4,22.39583333333333
2017-02-07,22.39583333333333,21.0,49.0,3.0,34.0,0.0,962.2,956.6,9.7,5.0,17.7,9.3,0.9,2.2,8.069444444444445
2017-02-08,8.069444444444445,5.0,53.0,2.0,4.0,0.0,959.8,957.4,10.3,10.0,15.3,8.9,2.5,3.1,21.45833333333333
2017-02-09,21.45833333333333,20.0,53.0,5.0,16.0,0.0,959.0,947.1,8.3,8.4,18.6,7.8,-3.1,1.4,15.75
2017-02-10,15.75,10.0,82.0,1.0,27.0,21.7,947.7,945.1,10.8,0.0,7.1,3.8,0.6,1.9,11.611111111111109
2017-02-11,11.611111111111109,13.0,28.0,0.0,12.0,2.9,945.3,936.9,10.8,3.4,14.5,9.6,4.7,2.8,8.208333333333334
2017-02-12,8.208333333333334,8.0,20.0,2.0,15.0,6.4,938.1,931.9,15.3,3.7,18.0,13.2,8.3,5.3,10.069444444444443
2017-02-13,10.069444444444443,6.0,36.0,1.0,27.0,0.4,953.0,933.4,12.5,3.4,15.6,10.1,4.6,3.9,21.859154929577464
2017-02-14,21.859154929577464,18.0,68.0,5.0,99.0,0.0,959.2,952.9,4.2,6.3,17.0,8.8,0.7,0.3,17.908450704225352
2017-02-15,17.908450704225352,15.5,37.0,7.0,16.0,0.0,962.2,958.4,7.8,9.6,19.0,10.0,1.1,0.8,27.902777777777782
2017-02-16,27.902777777777782,24.0,60.0,8.0,99.0,0.0,962.7,959.5,8.3,9.0,18.5,10.8,3.1,3.1,36.90277777777778
2017-02-17,36.90277777777778,38.0,77.0,20.0,17.0,0.0,961.3,956.9,5.8,6.8,17.8,11.0,4.1,1.1,51.15972222222222
2017-02-18,51.15972222222222,51.5,98.0,25.0,99.0,3.6,958.4,951.1,3.6,2.5,15.8,9.3,2.8,0.3,19.8125
2017-02-19,19.8125,20.5,64.0,5.0,4.0,0.0,954.9,950.2,11.7,3.5,17.6,12.0,6.3,3.6,26.524475524475523
2017-02-20,26.524475524475523,24.0,49.0,14.0,3.0,0.0,954.9,950.4,12.8,3.6,15.4,10.6,5.8,4.2,60.34027777777778
2017-02-21,60.34027777777778,55.0,116.0,26.0,4.0,0.0,953.6,949.1,8.9,8.9,20.9,13.5,6.1,2.2,78.8695652173913
2017-02-22,78.8695652173913,75.0,137.0,42.0,14.0,5.5,952.5,946.9,20.0,6.6,20.6,14.0,7.4,1.1,105.56944444444444
2017-02-23,105.56944444444444,101.0,182.0,35.0,22.0,0.5,947.7,945.1,7.8,1.1,16.6,12.2,7.8,1.9,71.77083333333333
2017-02-24,71.77083333333333,68.0,130.0,47.0,99.0,0.1,952.1,946.7,6.7,5.4,18.6,11.8,4.9,0.8,93.44444444444444
2017-02-25,93.44444444444444,95.0,118.0,71.0,29.0,0.0,956.2,951.7,9.7,6.2,18.6,12.4,6.2,1.7,73.1111111111111
2017-02-26,73.1111111111111,70.0,114.0,54.0,28.0,0.0,956.9,952.8,7.8,7.9,19.3,12.0,4.7,1.9,60.97222222222222
