fecha,SO2_Media,SO2_Mediana,SO2_Max,SO2_Min,PART_Media,PART_Mediana,PART_Max,PART_Min,NO2_Media,NO2_Mediana,NO2_Max,NO2_Min,CO_Media,CO_Mediana,CO_Max,CO_Min,O3_Media,O3_Mediana,O3_Max,O3_Min
2018-01-01,4.875,5.0,7.0,4.0,25.32638888888889,17.5,67.0,12.0,26.444444444444443,20.0,70.0,5.0,246.00694444444446,132.5,1385.0,81.0,40.06944444444444,34.5,93.0,6.0
2018-01-02,6.979166666666667,6.0,24.0,4.0,40.666666666666664,30.0,99.0,0.0,41.270833333333336,39.5,86.0,11.0,391.22222222222223,169.5,1434.0,122.0,20.055555555555557,12.0,72.0,3.0
2018-01-03,6.993055555555555,6.0,22.0,5.0,45.888888888888886,41.0,94.0,22.0,43.47222222222222,42.0,85.0,18.0,472.8888888888889,308.5,1686.0,123.0,13.79861111111111,6.0,52.0,2.0
2018-01-04,6.125,6.0,15.0,4.0,47.84027777777778,46.0,87.0,18.0,37.69444444444444,35.0,68.0,13.0,364.5208333333333,277.0,1302.0,136.0,10.944444444444445,6.0,45.0,2.0
2018-01-05,5.211267605633803,5.0,7.0,4.0,25.04225352112676,25.0,70.0,5.0,27.880281690140844,24.0,74.0,4.0,176.2112676056338,125.0,1122.0,79.0,27.54225352112676,19.0,69.0,3.0
2018-01-06,5.243055555555555,5.0,7.0,4.0,13.92361111111111,12.5,36.0,6.0,11.215277777777779,6.0,48.0,1.0,110.66666666666667,92.0,341.0,83.0,62.21527777777778,65.0,84.0,4.0
2018-01-07,5.527777777777778,6.0,7.0,4.0,13.402777777777779,12.5,40.0,5.0,13.166666666666666,10.0,47.0,4.0,109.20138888888889,92.0,447.0,70.0,51.65277777777778,56.0,75.0,12.0
2018-01-08,6.888888888888889,6.0,18.0,5.0,15.75,14.5,32.0,6.0,27.75,28.0,66.0,2.0,137.88888888888889,125.0,393.0,82.0,40.083333333333336,37.0,80.0,10.0
2018-01-09,6.388888888888889,6.0,9.0,5.0,30.541984732824428,28.0,70.0,0.0,38.4375,30.0,87.0,8.0,231.28472222222223,123.0,1495.0,78.0,24.26388888888889,24.5,57.0,2.0
2018-01-10,6.104166666666667,6.0,12.0,4.0,16.368055555555557,15.5,55.0,8.0,19.569444444444443,15.0,72.0,2.0,133.69444444444446,125.0,629.0,83.0,51.395833333333336,56.0,79.0,5.0
2018-01-11,6.9743589743589745,7.0,11.0,5.0,16.76388888888889,13.0,43.0,8.0,31.078014184397162,24.0,79.0,1.0,130.99285714285713,96.5,505.0,78.0,46.773049645390074,55.0,83.0,3.0
2018-01-12,7.6875,8.0,11.0,6.0,31.854166666666668,26.0,105.0,6.0,40.986111111111114,32.0,90.0,4.0,313.96527777777777,109.5,1857.0,76.0,31.458333333333332,32.5,67.0,3.0
2018-01-13,10.354166666666666,8.0,46.0,6.0,39.78472222222222,40.0,81.0,24.0,46.15972222222222,44.5,75.0,26.0,302.93055555555554,233.5,917.0,120.0,12.722222222222221,8.0,54.0,3.0
2018-01-14,6.486111111111111,6.0,8.0,6.0,24.770833333333332,23.0,55.0,6.0,22.208333333333332,21.0,58.0,4.0,172.80555555555554,162.5,474.0,84.0,37.38194444444444,36.0,78.0,4.0
2018-01-15,6.833333333333333,7.0,10.0,5.0,17.15972222222222,13.0,44.0,7.0,26.708333333333332,20.0,67.0,6.0,137.98611111111111,96.0,405.0,82.0,35.423611111111114,36.5,75.0,3.0
2018-01-16,9.222222222222221,9.0,20.0,6.0,43.14393939393939,30.5,92.0,1.0,46.55555555555556,41.5,97.0,12.0,330.53472222222223,175.0,1329.0,85.0,17.333333333333332,11.0,66.0,3.0
2018-01-17,9.222222222222221,8.0,26.0,6.0,45.19444444444444,42.5,97.0,15.0,45.24305555555556,42.0,95.0,18.0,364.7638888888889,275.5,1601.0,87.0,14.5625,6.0,52.0,3.0
2018-01-18,10.866197183098592,9.0,39.0,6.0,46.90972222222222,34.0,91.0,23.0,49.19718309859155,48.0,83.0,23.0,381.40845070422534,228.0,1330.0,120.0,11.985915492957746,7.0,54.0,3.0
2018-01-19,9.243055555555555,8.0,16.0,7.0,54.923611111111114,48.0,100.0,30.0,43.458333333333336,40.0,81.0,19.0,382.2986111111111,308.0,1069.0,124.0,14.402777777777779,7.0,64.0,3.0
2018-01-20,10.45138888888889,8.0,35.0,6.0,49.06944444444444,47.5,86.0,25.0,42.3125,37.0,75.0,16.0,236.69444444444446,159.0,1440.0,83.0,18.729166666666668,8.0,70.0,3.0
2018-01-21,8.229166666666666,8.0,12.0,6.0,33.74305555555556,26.0,81.0,14.0,28.819444444444443,26.0,61.0,10.0,271.3611111111111,199.0,881.0,121.0,27.194444444444443,20.5,67.0,3.0
2018-01-22,10.090277777777779,8.0,37.0,6.0,35.604166666666664,27.0,73.0,16.0,41.18055555555556,37.5,91.0,14.0,326.7013888888889,201.0,1125.0,118.0,20.118055555555557,9.5,69.0,3.0
2018-01-23,10.75,8.5,64.0,5.0,44.736,44.0,110.0,0.0,48.11805555555556,47.0,110.0,21.0,353.5138888888889,289.0,1908.0,53.0,14.88888888888889,6.5,63.0,3.0
