fecha,SO2_Media,SO2_Mediana,SO2_Max,SO2_Min,PART_Media,PART_Mediana,PART_Max,PART_Min,NO2_Media,NO2_Mediana,NO2_Max,NO2_Min,CO_Media,CO_Mediana,CO_Max,CO_Min,O3_Media,O3_Mediana,O3_Max,O3_Min
2017-01-01,6.375,6.0,9.0,5.0,42.97222222222222,43.5,119.0,11.0,51.354166666666664,52.0,118.0,8.0,834.6736111111111,794.5,1727.0,527.0,,,,
2017-01-04,8.472222222222221,8.0,28.0,5.0,56.125,61.5,106.0,11.0,60.0625,57.5,113.0,20.0,874.4513888888889,846.0,1503.0,545.0,,,,
2017-01-05,10.902097902097902,9.0,36.0,5.0,41.0979020979021,36.0,76.0,18.0,68.7062937062937,64.0,141.0,36.0,1008.5384615384615,822.0,2475.0,589.0,,,,
2017-01-06,7.722222222222222,7.0,26.0,5.0,32.611111111111114,35.5,56.0,11.0,49.90277777777778,50.5,85.0,12.0,834.4722222222222,830.5,1408.0,538.0,,,,
2017-01-07,6.9375,7.0,11.0,5.0,37.84027777777778,35.5,104.0,12.0,58.263888888888886,50.5,152.0,18.0,830.0416666666666,747.5,2033.0,455.0,,,,
2017-01-08,7.006944444444445,7.0,11.0,5.0,39.423611111111114,40.0,76.0,12.0,61.52777777777778,58.0,156.0,19.0,835.2222222222222,813.0,1789.0,452.0,,,,
2017-01-09,11.57638888888889,10.0,48.0,5.0,46.06944444444444,39.5,106.0,14.0,87.15972222222223,80.0,169.0,27.0,1106.1527777777778,894.0,2450.0,542.0,,,,
2017-01-10,11.055555555555555,10.0,41.0,6.0,50.986111111111114,49.0,102.0,19.0,73.43055555555556,72.0,139.0,26.0,1040.8194444444443,998.5,1876.0,605.0,,,,
2017-01-11,6.875,7.0,10.0,5.0,23.70138888888889,26.0,70.0,5.0,48.71527777777778,46.5,116.0,11.0,797.7291666666666,742.5,1539.0,506.0,,,,
2017-01-13,8.426573426573427,8.0,13.0,5.0,43.16083916083916,39.0,98.0,13.0,63.80419580419581,58.0,140.0,12.0,987.6643356643357,882.0,2293.0,584.0,,,,
2017-01-14,6.451388888888889,6.0,8.0,5.0,20.97222222222222,16.0,46.0,5.0,38.52777777777778,41.5,84.0,11.0,738.4513888888889,705.5,1205.0,553.0,,,,
2017-01-15,6.277777777777778,6.0,9.0,5.0,15.479166666666666,14.0,77.0,5.0,28.15972222222222,25.0,87.0,7.0,714.9861111111111,670.0,1474.0,501.0,,,,
2017-01-16,7.493055555555555,7.0,13.0,5.0,22.319444444444443,21.0,74.0,6.0,48.90277777777778,44.0,105.0,16.0,859.5138888888889,793.5,1490.0,645.0,,,,
2017-01-17,7.742647058823529,7.0,14.0,5.0,25.705882352941178,22.0,61.0,7.0,49.9485294117647,48.5,116.0,7.0,846.3382352941177,766.5,1564.0,499.0,,,,
2017-01-18,8.604166666666666,7.0,30.0,5.0,19.34027777777778,13.0,52.0,9.0,37.99305555555556,29.0,101.0,3.0,771.0,772.5,1123.0,546.0,,,,
2017-01-19,7.7898550724637685,7.0,32.0,5.0,14.979166666666666,14.0,39.0,6.0,35.08029197080292,31.0,94.0,5.0,686.4460431654676,685.0,1034.0,489.0,,,,
2017-01-20,8.88888888888889,8.0,29.0,6.0,29.17361111111111,27.0,86.0,18.0,55.388888888888886,57.0,120.0,12.0,746.2307692307693,689.0,1601.0,490.0,,,,
2017-01-21,8.194444444444445,7.0,21.0,6.0,36.604166666666664,36.0,71.0,10.0,46.951388888888886,48.0,73.0,18.0,664.6944444444445,655.0,1341.0,360.0,,,,
2017-01-22,6.958333333333333,7.0,11.0,5.0,24.48611111111111,24.0,65.0,7.0,42.958333333333336,34.0,104.0,12.0,606.0347222222222,512.0,1464.0,372.0,,,,
2017-01-23,8.0,8.0,14.0,5.0,36.72222222222222,31.5,79.0,15.0,63.88194444444444,58.0,136.0,17.0,774.1736111111111,660.5,1688.0,426.0,,,,
2017-01-24,8.395833333333334,8.0,15.0,5.0,40.00694444444444,38.0,88.0,13.0,66.14583333333333,66.5,144.0,15.0,754.8125,678.5,1779.0,389.0,,,,
2017-01-25,9.381944444444445,8.0,38.0,6.0,41.854166666666664,36.5,115.0,17.0,73.47222222222223,70.5,149.0,20.0,817.7361111111111,762.0,1794.0,446.0,,,,
2017-01-26,9.027777777777779,9.0,14.0,6.0,42.78472222222222,43.0,88.0,14.0,74.4375,74.5,171.0,11.0,839.2430555555555,798.5,1947.0,437.0,,,,
2017-01-27,6.669014084507042,6.0,10.0,5.0,13.161971830985916,12.0,22.0,9.0,37.34507042253521,35.0,110.0,6.0,600.2112676056338,591.0,1019.0,411.0,,,,
