altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
567,99.0,2017-01-01,00,23,Varias,15:00,04:23,5530E,GRANADA AEROPUERTO,"0,0","962,2","955,4",GRANADA,"3,6","7,8","13,5","5,4","-2,7","0,6"
567,16.0,2017-01-02,Varias,15,17:50,16:08,02:54,5530E,GRANADA AEROPUERTO,"0,0","957,2","952,7",GRANADA,"5,8","8,8","16,7","7,4","-2,0","1,7"
567,11.0,2017-01-03,22,01,09:28,15:05,07:42,5530E,GRANADA AEROPUERTO,"0,0","961,1","956,9",GRANADA,"3,6","7,4","16,5","7,7","-1,1","0,8"
567,25.0,2017-01-04,Varias,17,Varias,15:58,05:03,5530E,GRANADA AEROPUERTO,"0,0","961,7","958,0",GRANADA,"4,7","4,2","17,2","9,0","0,7","0,6"
567,99.0,2017-01-05,00,15,Varias,14:45,05:36,5530E,GRANADA AEROPUERTO,"0,0","958,8","954,6",GRANADA,"4,7","6,1","17,3","9,6","1,8","0,3"
567,21.0,2017-01-06,Varias,01,17:11,14:13,07:20,5530E,GRANADA AEROPUERTO,"0,0","961,5","957,6",GRANADA,"6,7","9,1","16,9","7,8","-1,2","1,1"
567,99.0,2017-01-07,Varias,14,Varias,15:38,07:31,5530E,GRANADA AEROPUERTO,"0,0","963,1","959,8",GRANADA,"2,2","9,1","16,4","7,9","-0,6","0,6"
567,20.0,2017-01-08,Varias,16,17:43,14:52,07:40,5530E,GRANADA AEROPUERTO,"0,0","961,8","957,8",GRANADA,"4,7","8,9","16,3","6,4","-3,4","0,8"
567,26.0,2017-01-09,10,15,19:02,15:30,07:36,5530E,GRANADA AEROPUERTO,"0,0","959,8","955,9",GRANADA,"4,7","9,2","17,3","6,6","-4,1","0,3"
567,99.0,2017-01-10,01,15,Varias,15:25,07:36,5530E,GRANADA AEROPUERTO,"0,0","957,5","950,1",GRANADA,"7,2","5,2","12,4","4,4","-3,5","1,1"
567,3.0,2017-01-11,Varias,00,Varias,14:32,07:42,5530E,GRANADA AEROPUERTO,"0,0","960,8","951,9",GRANADA,"10,8","8,7","16,9","8,4","-0,2","2,2"
567,27.0,2017-01-12,Varias,17,19:11,14:57,07:16,5530E,GRANADA AEROPUERTO,"0,0","962,2","956,8",GRANADA,"4,7","9,3","17,6","8,4","-0,8","1,4"
567,99.0,2017-01-13,00,14,14:39,13:29,07:30,5530E,GRANADA AEROPUERTO,"0,0","957,5","954,0",GRANADA,"10,8","9,0","14,4","6,9","-0,6","2,2"
567,3.0,2017-01-14,23,05,Varias,13:50,02:17,5530E,GRANADA AEROPUERTO,"0,0","960,9","956,7",GRANADA,"13,9","8,8","11,1","5,0","-1,1","4,4"
567,3.0,2017-01-15,Varias,15,12:51,14:35,07:07,5530E,GRANADA AEROPUERTO,"0,0","962,2","958,7",GRANADA,"12,5","9,3","11,9","4,2","-3,6","4,7"
567,4.0,2017-01-16,00,16,12:59,14:31,07:50,5530E,GRANADA AEROPUERTO,"0,0","960,0","954,6",GRANADA,"10,8","9,4","14,5","6,0","-2,5","3,6"
567,3.0,2017-01-17,00,15,Varias,13:09,07:17,5530E,GRANADA AEROPUERTO,"0,0","954,8","949,2",GRANADA,"10,8","9,2","15,7","6,4","-2,9","1,1"
567,3.0,2017-01-18,Varias,15,19:32,15:30,07:51,5530E,GRANADA AEROPUERTO,"0,0","951,0","947,0",GRANADA,"12,5","2,0","5,5","-0,2","-5,9","1,7"
567,3.0,2017-01-19,00,16,11:32,13:06,06:35,5530E,GRANADA AEROPUERTO,"0,0","948,4","944,5",GRANADA,"13,3","2,9","7,6","3,9","0,2","2,5"
567,99.0,2017-01-20,Varias,00,Varias,14:49,23:58,5530E,GRANADA AEROPUERTO,"0,0","950,1","944,7",GRANADA,"4,2","0,9","9,6","4,0","-1,7","0,6"
567,3.0,2017-01-21,10,14,15:50,13:50,06:59,5530E,GRANADA AEROPUERTO,"0,0","950,9","947,3",GRANADA,"9,7","4,4","11,9","3,7","-4,5","1,1"
567,35.0,2017-01-22,Varias,14,14:51,13:55,07:43,5530E,GRANADA AEROPUERTO,"0,0","951,6","949,0",GRANADA,"9,2","8,4","14,5","6,8","-0,9","2,2"
567,99.0,2017-01-23,Varias,14,Varias,14:05,07:27,5530E,GRANADA AEROPUERTO,"0,0","955,4","950,3",GRANADA,"7,2","7,5","14,0","5,0","-4,1","1,4"
567,33.0,2017-01-24,23,01,16:06,15:16,06:33,5530E,GRANADA AEROPUERTO,"0,0","958,2","955,0",GRANADA,"7,2","9,5","15,3","5,6","-4,1","1,1"
567,27.0,2017-01-25,00,15,Varias,14:56,07:36,5530E,GRANADA AEROPUERTO,"0,0","958,0","952,3",GRANADA,"8,9","9,5","15,0","5,2","-4,5","2,5"
567,99.0,2017-01-26,00,24,Varias,13:59,04:31,5530E,GRANADA AEROPUERTO,"0,6","953,9","946,2",GRANADA,"12,5","2,4","12,3","4,8","-2,8","1,1"
567,29.0,2017-01-27,Varias,01,12:10,15:31,03:52,5530E,GRANADA AEROPUERTO,"4,2","953,2","945,0",GRANADA,"18,1","2,6","10,9","8,4","5,9","5,6"
567,32.0,2017-01-28,Varias,00,09:36,14:55,04:47,5530E,GRANADA AEROPUERTO,"0,0","960,4","953,2",GRANADA,"10,3","8,2","13,1","8,4","3,6","4,4"
567,22.0,2017-01-29,11,16,21:14,15:50,06:47,5530E,GRANADA AEROPUERTO,"0,0","960,5","957,3",GRANADA,"5,0","7,3","17,4","9,0","0,7","0,8"
