altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
687,,2017-01-01,00,24,,15:20,07:50,5514,GRANADA BASE AÉREA,"0,0","947,9","941,9",GRANADA,,"7,3","11,3","4,8","-1,6",
687,,2017-01-02,24,Varias,,Varias,04:20,5514,GRANADA BASE AÉREA,"0,0","943,0","939,6",GRANADA,,"8,6","15,0","6,8","-1,5",
687,,2017-01-03,24,00,,14:50,Varias,5514,GRANADA BASE AÉREA,"0,0","947,0","943,0",GRANADA,,"6,8","15,0","8,0","1,0","0,3"
687,,2017-01-04,11,18,,14:50,05:30,5514,GRANADA BASE AÉREA,"0,0","947,8","944,2",GRANADA,,"6,8","15,4","8,4","1,4","0,6"
687,,2017-01-05,00,Varias,,14:20,06:50,5514,GRANADA BASE AÉREA,"0,0","945,1","941,4",GRANADA,,"6,9","17,0","9,3","1,6","0,6"
687,,2017-01-06,24,00,,13:20,05:40,5514,GRANADA BASE AÉREA,"0,0","947,5","943,8",GRANADA,,"7,8","15,4","7,4","-0,5",
687,,2017-01-07,10,15,,15:30,07:50,5514,GRANADA BASE AÉREA,"0,0","949,0","946,1",GRANADA,,"8,0","14,6","7,8","1,0",
687,,2017-01-08,Varias,Varias,,15:40,06:20,5514,GRANADA BASE AÉREA,"0,0","947,1","944,6",GRANADA,,"7,8","14,8","6,2","-2,4",
687,,2017-01-09,11,16,,15:20,Varias,5514,GRANADA BASE AÉREA,"0,0","945,2","942,8",GRANADA,,"8,0","15,4","6,8","-1,8",
687,,2017-01-10,00,15,,15:30,05:50,5514,GRANADA BASE AÉREA,"0,0","943,2","937,0",GRANADA,,"3,8","11,2","4,4","-2,4","1,1"
687,,2017-01-11,24,00,,14:40,06:50,5514,GRANADA BASE AÉREA,"0,0","946,7","938,7",GRANADA,,"8,7","15,6","9,1","2,6","4,2"
687,,2017-01-12,10,18,,15:40,06:50,5514,GRANADA BASE AÉREA,"0,0","948,1","943,7",GRANADA,,"8,3","16,2","8,5","0,8","0,3"
687,,2017-01-13,00,14,,13:30,05:30,5514,GRANADA BASE AÉREA,"0,0","944,0","940,5",GRANADA,,"8,4","13,4","7,0","0,6","1,9"
687,,2017-01-14,24,05,,15:10,01:50,5514,GRANADA BASE AÉREA,"0,0","946,2","942,9",GRANADA,,"8,4","11,4","5,8","0,2",
687,,2017-01-15,10,15,,14:10,06:10,5514,GRANADA BASE AÉREA,"0,0","947,8","944,9",GRANADA,,"8,7","11,6","4,1","-3,4",
