FECHA-HORA,SO2,PART,NO2,CO,O3
02/01/19-11:30, , ,34,158, 
02/01/19-19:30, , ,72,607, 
06/01/19-03:40, , ,30,221, 
06/01/19-11:40, , ,34,110, 
08/01/19-09:30,13,64,67,752,2
08/01/19-09:40,12,64,66,637,2
08/01/19-09:50,13,64,68,616,3
08/01/19-10:00,12,64,61,597,3
08/01/19-10:10,15,95,60,675,4
08/01/19-10:20,32,95,81,782,7
08/01/19-10:30,23,95,71,694,8
08/01/19-10:40,21,95,71,688,8
08/01/19-10:50,16,96,66,558,11
08/01/19-11:00,14,95,57,406,15
08/01/19-11:10,14,78,49,319,18
08/01/19-11:20,13,78,52,388,15
08/01/19-11:30,13,78,47,317,18
08/01/19-11:40,14,78,41,282,19
08/01/19-11:50,16,78,45,243,20
08/01/19-12:00,27,78,44,255,22
08/01/19-12:10,24,62,47,253,23
08/01/19-12:20,20,62,41,179,32
08/01/19-12:30,19,62,36,164,33
08/01/19-12:40,29,62,52,146,24
08/01/19-12:50,41,62,56,123,17
08/01/19-13:00,26,61,43,110,31
08/01/19-13:10,28,43,42,101,25
08/01/19-13:20,32,43,49,135,23
08/01/19-13:30,34,43,54,153,20
08/01/19-13:40,29,43,53,127,28
08/01/19-13:50,23,43,44,112,37
08/01/19-14:00,16,43,38,115,51
08/01/19-14:10,16,33,26,112,52
08/01/19-14:20,20,33,34,117,47
08/01/19-14:30,15,33,29,111,58
08/01/19-14:40,13,33,22,116,70
08/01/19-14:50,12,33,16,111,72
08/01/19-15:00,11,33,17,107,75
08/01/19-15:10,11,35,19,109,74
08/01/19-15:20,11,35,14,101,80
08/01/19-15:30,10,35,13,85,84
08/01/19-15:40,9,35,13,84,82
08/01/19-15:50,11,35,15,109,78
08/01/19-16:00,11,35,18,110,79
08/01/19-16:10,11,27,17,112,79
08/01/19-16:20,11,27,19,117,79
08/01/19-16:30,11,27,19,113,81
08/01/19-16:40,10,27,18,109,82
08/01/19-16:50,10,27,16,103,84
08/01/19-17:00,10,26,18,104,81
08/01/19-17:10,10,23,17,104,78
08/01/19-17:20,10,23,22,123,74
08/01/19-17:30,10,23,19,131,72
08/01/19-17:40,10,23,23,149,63
08/01/19-17:50,10,23,32,209,52
08/01/19-18:00,10,23,40,244,37
08/01/19-18:10,11,45,53,256,24
08/01/19-18:20,11,45,68,407,7
08/01/19-18:30,11,45,72,492,2
08/01/19-18:40,11,45,69,694,2
08/01/19-18:50,11,45,81,829,4
08/01/19-19:00,11,45,77,869,5
08/01/19-19:10,10,93,69,872,5
08/01/19-19:20,10,93,70,794,4
08/01/19-19:30,11,93,64,617,4
08/01/19-19:40,10,93,66,760,4
08/01/19-19:50,10,93,65,815,3
08/01/19-20:00,10,92,63,754,3
08/01/19-20:10,10,86,67,994,4
08/01/19-20:20,11,86,69,1350,5
08/01/19-20:30,10,86,70,1506,4
08/01/19-20:40,10,85,67,1226,4
08/01/19-20:50,11,86,61,1223,4
08/01/19-21:00,10,85,63,1099,4
08/01/19-21:10,10,124,55,790,4
08/01/19-21:20,11,124,65,988,5
08/01/19-21:30,10,124,62,1129,4
08/01/19-21:40,10,124,58,966,4
08/01/19-21:50,10,124,54,687,5
08/01/19-22:00,10,123,50,614,6
08/01/19-22:10,10,88,46,601,4
08/01/19-22:20,10,88,50,623,2
08/01/19-22:30,9,88,46,585,2
08/01/19-22:40,10,88,52,541,3
08/01/19-22:50,10,88,49,575,2
08/01/19-23:00,10,87,42,898,2
08/01/19-23:10,10,63,45,592,2
08/01/19-23:20,8,63,43,551,2
08/01/19-23:30,10,63,49,505,2
08/01/19-23:40,9,63,42,706,3
08/01/19-23:50,10,64,43,634,2
09/01/19-00:00,9,63,39,741,2
09/01/19-00:10,9,63,46,695,3
09/01/19-00:20,11,63,40,703,2
09/01/19-00:30,11,63,37,971,2
09/01/19-00:40,10,63,41,636,2
09/01/19-00:50,9,63,37,566,2
09/01/19-01:00,9,62,36,588,1
09/01/19-01:10,9,67,37,540,2
09/01/19-01:20,9,67,35,375,3
09/01/19-01:30,9,67,36,422,2
09/01/19-01:40,9,67,31,426,2
09/01/19-01:50,9,67,36,392,1
09/01/19-02:00,8,66,31,304,2
09/01/19-02:10,9,50,26,328,1
09/01/19-02:20,9,50,29,332,1
09/01/19-02:30,9,50,27,291,1
09/01/19-02:40,9,50,25,329,1
09/01/19-02:50,9,50,29,333,1
09/01/19-03:00,10,50,27,285,3
09/01/19-03:10,9,41,27,236,3
09/01/19-03:20,10,41,23,240,1
09/01/19-03:30,9,41,26,255,1
