FECHA-HORA,SO2,PART,NO2,CO,O3
01/01/18-00:10,6,26,21,688, 
01/01/18-00:20,7,24,23,694, 
01/01/18-00:30,6,59,44,875, 
01/01/18-00:40,6,90,73,1591, 
01/01/18-00:50,6,197,61,1478, 
01/01/18-01:00,8,132,75,1285, 
01/01/18-01:10,6,143,65,1342, 
01/01/18-01:20,7,103,68,1311, 
01/01/18-01:30,7,75,72,1340, 
01/01/18-01:40,7,58,83,1213, 
01/01/18-01:50,7,57,56,1248, 
01/01/18-02:00,6,58,49,1232, 
01/01/18-02:10,7,45,76,1172, 
01/01/18-02:20,7,54,80,1271, 
01/01/18-02:30,7,45,73,1103, 
01/01/18-02:40,7,38,56,1050, 
01/01/18-02:50,6,20,60,901, 
01/01/18-03:00,7,18,57,761, 
01/01/18-03:10,6,32,52,955, 
01/01/18-03:20,6,28,53,929, 
01/01/18-03:30,7,28,49,877, 
01/01/18-03:40,5,17,49,726, 
01/01/18-03:50,6,17,42,739, 
01/01/18-04:00,6,23,51,753, 
01/01/18-04:10,6,35,40,742, 
01/01/18-04:20,6,31,44,886, 
01/01/18-04:30,6,32,49,961, 
01/01/18-04:40,5,19,45,800, 
01/01/18-04:50,6,17,41,731, 
01/01/18-05:00,6,17,46,766, 
01/01/18-05:10,6,20,36,672, 
01/01/18-05:20,7,27,31,715, 
01/01/18-05:30,6,26,28,698, 
01/01/18-05:40,6,25,29,673, 
01/01/18-05:50,6,24,29,647, 
01/01/18-06:00,6,24,45,684, 
01/01/18-06:10,6,24,42,638, 
01/01/18-06:20,5,19,33,604, 
01/01/18-06:30,5,16,25,567, 
01/01/18-06:40,6,13,20,552, 
01/01/18-06:50,6,13,16,582, 
01/01/18-07:00,6,12,21,558, 
01/01/18-07:10,6,14,51,635, 
01/01/18-07:20,6,16,65,645, 
01/01/18-07:30,6,15,55,664, 
01/01/18-07:40,7,11,51,548, 
01/01/18-07:50,6,8,45,490, 
01/01/18-08:00,5,6,43,473, 
01/01/18-08:10,5,6,36,445, 
01/01/18-08:20,5,9,36,461, 
01/01/18-08:30,6,9,46,709, 
01/01/18-08:40,6,8,52,694, 
01/01/18-08:50,6,10,55,595, 
01/01/18-09:00,6,10,52,564, 
01/01/18-09:10,6,10,49,591, 
01/01/18-09:20,7,13,61,610, 
01/01/18-09:30,6,14,53,679, 
01/01/18-09:40,6,15,53,662, 
01/01/18-09:50,6,13,44,600, 
01/01/18-10:00,6,16,54,671, 
01/01/18-10:10,7,14,49,609, 
01/01/18-10:20,7,13,46,599, 
01/01/18-10:30,7,20,44,674, 
01/01/18-10:40,7,17,38,587, 
01/01/18-10:50,7,12,20,554, 
01/01/18-11:00,6,13,22,568, 
01/01/18-11:10,6,14,24,558, 
01/01/18-11:20,6,18,31,574, 
01/01/18-11:30,6,15,35,586, 
01/01/18-11:40,7,14,36,581, 
01/01/18-11:50,7,14,38,609, 
01/01/18-12:00,7,14,37,596, 
01/01/18-12:10,7,18,35,628, 
01/01/18-12:20,7,13,33,581, 
01/01/18-12:30,7,12,34,593, 
01/01/18-12:40,7,11,38,556, 
01/01/18-12:50,6,11,28,581, 
01/01/18-13:00,6,10,36,571, 
01/01/18-13:10,7,8,36,535, 
01/01/18-13:20,6,8,35,550, 
01/01/18-13:30,6,7,23,521, 
01/01/18-13:40,7,7,23,523, 
01/01/18-13:50,6,7,22,527, 
01/01/18-14:00,6,7,20,525, 
01/01/18-14:10,6,11,19,546, 
01/01/18-14:20,6,9,21,583, 
01/01/18-14:30,7,7,23,543, 
01/01/18-14:40,7,8,28,564, 
01/01/18-14:50,5,9,20,579, 
01/01/18-15:00,5,9,21,565, 
01/01/18-15:10,6,8,19,580, 
01/01/18-15:20,5,7,23,556, 
01/01/18-15:30,5,8,17,558, 
01/01/18-15:40,6,10,17,634, 
01/01/18-15:50,5,7,16,561, 
01/01/18-16:00,5,6,11,549, 
01/01/18-16:10,6,6,14,516, 
01/01/18-16:20,6,5,12,547, 
01/01/18-16:30,5,7,21,540, 
01/01/18-16:40,5,8,17,575, 
01/01/18-16:50,6,14,25,642, 
01/01/18-17:00,5,10,13,600, 
01/01/18-17:10,6,11,19,563, 
01/01/18-17:20,7,12,18,601, 
01/01/18-17:30,5,6,22,575, 
01/01/18-17:40,6,10,34,675, 
01/01/18-17:50,6,12,39,717, 
01/01/18-18:00,5,9,28,650, 
01/01/18-18:10,6,8,48,649, 
01/01/18-18:20,6,5,39,550, 
01/01/18-18:30,7,9,95,727, 
01/01/18-18:40,8,20,121,1065, 
01/01/18-18:50,7,21,120,1471, 
01/01/18-19:00,8,25,97,1190, 
01/01/18-19:10,7,18,85,851, 
01/01/18-19:20,7,17,90,810, 
01/01/18-19:30,7,19,86,857, 
01/01/18-19:40,9,47,95,1066, 
01/01/18-19:50,8,44,85,1110, 
01/01/18-20:00,9,41,91,1030, 
01/01/18-20:10,9,35,100,1138, 
01/01/18-20:20,8,21,99,929, 
01/01/18-20:30,8,17,81,795, 
01/01/18-20:40,9,44,96,1686, 
01/01/18-20:50,10,59,96,1982, 
01/01/18-21:00,9,43,79,1325, 
01/01/18-21:10,10,25,66,864, 
01/01/18-21:20,10,28,85,986, 
01/01/18-21:30,10,27,86,1062, 
01/01/18-21:40,9,25,70,1024, 
01/01/18-21:50,9,48,91,1140, 
01/01/18-22:00,9,53,88,1460, 
01/01/18-22:10,9,56,99,1556, 
01/01/18-22:20,9,49,92,1399, 
01/01/18-22:30,7,44,78,1213, 
01/01/18-22:40,8,51,82,1637, 
01/01/18-22:50,8,38,77,1109, 
01/01/18-23:00,7,28,49,771, 
01/01/18-23:10,8,30,64,962, 
01/01/18-23:20,6,32,68,1025, 
01/01/18-23:30,8,43,63,1108, 
01/01/18-23:40,7,35,64,1117, 
01/01/18-23:50,7,28,64,1028, 
02/01/18-00:00,7,44,63,954, 
02/01/18-00:10,7,46,67,1043, 
02/01/18-00:20,6,54,66,993, 
02/01/18-00:30,6,40,65,859, 
02/01/18-00:40,6,30,56,763, 
02/01/18-00:50,6,24,52,771, 
02/01/18-01:00,7,19,54,739, 
02/01/18-01:10,5,16,38,634, 
02/01/18-01:20,6,15,32,594, 
02/01/18-01:30,6,17,31,640, 
02/01/18-01:40,6,18,30,631, 
02/01/18-01:50,5,15,41,631, 
02/01/18-02:00,6,21,30,723, 
02/01/18-02:10,5,25,37,735, 
02/01/18-02:20,5,26,38,781, 
02/01/18-02:30,6,31,40,843, 
02/01/18-02:40,6,29,43,824, 
02/01/18-02:50,6,26,43,787, 
02/01/18-03:00,6,24,46,834, 
02/01/18-03:10,6,19,40,666, 
02/01/18-03:20,7,13,32,618, 
02/01/18-03:30,5,11,28,598, 
02/01/18-03:40,6,11,31,597, 
02/01/18-03:50,6,14,26,582, 
02/01/18-04:00,5,9,24,535, 
02/01/18-04:10,5,9,26,528, 
02/01/18-04:20,6,10,49,543, 
02/01/18-04:30,6,12,39,531, 
02/01/18-04:40,6,10,27,526, 
02/01/18-04:50,6,11,24,576, 
02/01/18-05:00,6,11,27,560, 
02/01/18-05:10,5,11,27,526, 
02/01/18-05:20,5,11,25,555, 
02/01/18-05:30,5,12,38,561, 
02/01/18-05:40,6,14,44,553, 
02/01/18-05:50,6,15,42,601, 
02/01/18-06:00,6,14,42,574, 
02/01/18-06:10,6,13,41,587, 
02/01/18-06:20,6,16,45,663, 
02/01/18-06:30,6,15,44,587, 
02/01/18-06:40,6,17,41,584, 
02/01/18-06:50,6,15,44,615, 
02/01/18-07:00,6,13,34,583, 
02/01/18-07:10,6,15,27,568, 
02/01/18-07:20,6,16,37,637, 
02/01/18-07:30,6,24,46,739, 
02/01/18-07:40,6,30,50,747, 
02/01/18-07:50,6,29,63,792, 
02/01/18-08:00,7,23,55,761, 
02/01/18-08:10,6,24,53,737, 
02/01/18-08:20,6,28,57,784, 
02/01/18-08:30,7,33,54,815, 
02/01/18-08:40,6,35,58,780, 
02/01/18-08:50,7,36,61,805, 
02/01/18-09:00,6,33,60,780, 
02/01/18-09:10,6,30,67,1061, 
02/01/18-09:20,7,34,68,988, 
02/01/18-09:30,7,40,66,933, 
02/01/18-09:40,7,37,62,838, 
02/01/18-09:50,8,42,70,809, 
02/01/18-10:00,7,36,49,730, 
02/01/18-10:10,8,37,41,709, 
02/01/18-10:20,7,38,50,767, 
02/01/18-10:30,8,55,60,857, 
02/01/18-10:40,8,50,63,912, 
02/01/18-10:50,8,33,56,747, 
02/01/18-11:00,6,28,46,641, 
02/01/18-11:10,6,19,31,591, 
02/01/18-11:20,8,21,32,602, 
02/01/18-11:30,6,26,37,634, 
02/01/18-11:40,7,23,45,701, 
02/01/18-11:50,7,31,45,661, 
02/01/18-12:00,7,39,45,669, 
02/01/18-12:10,8,36,44,656, 
02/01/18-12:20,7,27,40,581, 
02/01/18-12:30,6,19,41,576, 
02/01/18-12:40,7,19,29,648, 
02/01/18-12:50,7,19,34,575, 
02/01/18-13:00,7,21,34,646, 
02/01/18-13:10,7,22,34,687, 
02/01/18-13:20,7,20,30,686, 
02/01/18-13:30,7,18,47,625, 
02/01/18-13:40,11,17,52,594, 
02/01/18-13:50,27,17,74,641, 
02/01/18-14:00,30,18,76,668, 
02/01/18-14:10,32,15,69,581, 
02/01/18-14:20,32,13,73,565, 
02/01/18-14:30,27,13,64,614, 
02/01/18-14:40,21,14,67,553, 
02/01/18-14:50,19,14,59,603, 
02/01/18-15:00,26,13,73,538, 
02/01/18-15:10,27,15,64,556, 
02/01/18-15:20,20,15,53,537, 
02/01/18-15:30,20,17,62,592, 
02/01/18-15:40,13,20,37,510, 
02/01/18-15:50,10,22,31,538, 
02/01/18-16:00,9,24,28,595, 
02/01/18-16:10,9,24,32,602, 
02/01/18-16:20,9,24,40,681, 
02/01/18-16:30,8,23,30,606, 
02/01/18-16:40,9,23,34,634, 
02/01/18-16:50,8,23,44,598, 
02/01/18-17:00,8,29,46,651, 
02/01/18-17:10,8,29,51,649, 
02/01/18-17:20,8,28,62,648, 
02/01/18-17:30,7,29,57,751, 
02/01/18-17:40,9,30,67,694, 
02/01/18-17:50,8,33,91,812, 
02/01/18-18:00,7,40,98,851, 
02/01/18-18:10,8,39,81,1066, 
02/01/18-18:20,7,39,88,1272, 
02/01/18-18:30,7,48,97,1237, 
02/01/18-18:40,8,55,105,1422, 
02/01/18-18:50,9,58,84,1413, 
02/01/18-19:00,9,52,83,939, 
02/01/18-19:10,9,53,89,1107, 
02/01/18-19:20,8,69,97,1294, 
02/01/18-19:30,10,73,113,1446, 
02/01/18-19:40,8,66,96,1173, 
02/01/18-19:50,8,58,96,1143, 
02/01/18-20:00,9,55,84,1016, 
02/01/18-20:10,7,50,81,1008, 
02/01/18-20:20,8,56,86,1320, 
02/01/18-20:30,8,54,82,1268, 
02/01/18-20:40,7,55,88,1134, 
02/01/18-20:50,8,57,83,1139, 
02/01/18-21:00,8,60,88,1028, 
02/01/18-21:10,7,57,100,1122, 
02/01/18-21:20,8,59,81,1507, 
02/01/18-21:30,8,61,93,1481, 
02/01/18-21:40,7,59,77,1159, 
02/01/18-21:50,8,61,81,1161, 
02/01/18-22:00,8,60,85,1443, 
02/01/18-22:10,9,65,99,1638, 
02/01/18-22:20,9,65,82,1753, 
02/01/18-22:30,7,67,70,1398, 
02/01/18-22:40,8,66,75,1321, 
02/01/18-22:50,8,65,66,1385, 
02/01/18-23:00,7,60,70,1226, 
02/01/18-23:10,9,64,78,1530, 
02/01/18-23:20,8,57,69,1202, 
02/01/18-23:30,8,52,67,1060, 
02/01/18-23:40,8,49,70,995, 
02/01/18-23:50,8,53,77,1108, 
03/01/18-00:00,9,53,79,1246, 
03/01/18-00:10,8,49,74,1007, 
03/01/18-00:20,8,46,73,920, 
03/01/18-00:30,9,44,65,941, 
03/01/18-00:40,8,41,76,952, 
03/01/18-00:50,8,39,65,932, 
03/01/18-01:00,8,35,59,720, 
03/01/18-01:10,7,36,55,766, 
03/01/18-01:20,7,34,55,781, 
03/01/18-01:30,8,37,63,716, 
03/01/18-01:40,8,32,59,760, 
03/01/18-01:50,7,29,56,655, 
03/01/18-02:00,7,28,53,624, 
03/01/18-02:10,7,28,51,613, 
03/01/18-02:20,6,27,46,648, 
03/01/18-02:30,7,25,47,729, 
03/01/18-02:40,6,31,47,829, 
03/01/18-02:50,6,32,48,697, 
03/01/18-03:00,7,37,49,834, 
03/01/18-03:10,6,35,49,771, 
03/01/18-03:20,6,39,47,884, 
03/01/18-03:30,6,40,46,885, 
03/01/18-03:40,6,44,48,874, 
03/01/18-03:50,7,40,48,906, 
03/01/18-04:00,6,33,45,762, 
03/01/18-04:10,6,26,39,636, 
03/01/18-04:20,7,24,35,592, 
03/01/18-04:30,6,23,33,566, 
03/01/18-04:40,6,24,33,598, 
03/01/18-04:50,6,25,34,639, 
03/01/18-05:00,6,28,36,633, 
03/01/18-05:10,6,27,38,580, 
03/01/18-05:20,6,29,38,570, 
03/01/18-05:30,6,27,38,634, 
03/01/18-05:40,6,28,39,652, 
03/01/18-05:50,6,29,43,686, 
03/01/18-06:00,7,27,37,681, 
03/01/18-06:10,6,26,32,618, 
03/01/18-06:20,6,28,34,805, 
03/01/18-06:30,7,31,41,825, 
03/01/18-06:40,6,33,40,771, 
03/01/18-06:50,7,33,43,900, 
03/01/18-07:00,7,37,50,939, 
03/01/18-07:10,8,41,48,1157, 
03/01/18-07:20,7,45,50,1071, 
03/01/18-07:30,9,45,53,993, 
03/01/18-07:40,8,48,62,879, 
03/01/18-07:50,9,47,55,1024, 
03/01/18-08:00,7,48,71,1038, 
03/01/18-08:10,8,51,51,1340, 
03/01/18-08:20,9,56,66,1262, 
03/01/18-08:30,8,61,75,1262, 
03/01/18-08:40,9,63,54,1360, 
03/01/18-08:50,8,63,74,1223, 
03/01/18-09:00,8,65,78,1317, 
03/01/18-09:10,9,79,95,1384, 
03/01/18-09:20,9,73,101,1267, 
03/01/18-09:30,9,72,108,1457, 
03/01/18-09:40,9,68,76,1410, 
03/01/18-09:50,9,60,71,1147, 
03/01/18-10:00,9,56,66,1000, 
03/01/18-10:10,8,59,76,1007, 
03/01/18-10:20,9,66,72,1100, 
03/01/18-10:30,9,69,81,1136, 
03/01/18-10:40,9,59,66,907, 
03/01/18-10:50,8,55,63,880, 
03/01/18-11:00,9,58,68,1054, 
03/01/18-11:10,9,57,77,980, 
03/01/18-11:20,11,55,67,978, 
03/01/18-11:30,21,42,77,747, 
03/01/18-11:40,21,43,65,729, 
03/01/18-11:50,17,38,56,664, 
03/01/18-12:00,17,36,61,728, 
03/01/18-12:10,15,37,68,657, 
03/01/18-12:20,15,35,61,604, 
03/01/18-12:30,20,37,67,669, 
03/01/18-12:40,24,38,69,673, 
03/01/18-12:50,24,34,63,658, 
03/01/18-13:00,20,35,49,645, 
03/01/18-13:10,19,33,50,616, 
03/01/18-13:20,17,33,59,709, 
03/01/18-13:30,20,33,58,676, 
03/01/18-13:40,22,32,55,692, 
03/01/18-13:50,23,30,60,726, 
03/01/18-14:00,22,31,59,721, 
03/01/18-14:10,20,33,58,772, 
03/01/18-14:20,22,35,65,744, 
03/01/18-14:30,20,33,64,711, 
03/01/18-14:40,18,29,54,602, 
03/01/18-14:50,19,28,58,687, 
03/01/18-15:00,16,26,54,673, 
03/01/18-15:10,15,26,53,698, 
03/01/18-15:20,15,29,68,698, 
03/01/18-15:30,16,29,64,703, 
03/01/18-15:40,15,28,67,694, 
03/01/18-15:50,15,27,71,696, 
03/01/18-16:00,15,25,71,701, 
03/01/18-16:10,16,26,71,730, 
03/01/18-16:20,15,27,65,967, 
03/01/18-16:30,15,30,73,739, 
03/01/18-16:40,14,30,62,677, 
03/01/18-16:50,14,31,64,699, 
03/01/18-17:00,13,33,62,709, 
03/01/18-17:10,12,39,67,802, 
03/01/18-17:20,11,41,73,734, 
03/01/18-17:30,11,39,72,728, 
03/01/18-17:40,11,42,79,820, 
03/01/18-17:50,11,42,83,742, 
03/01/18-18:00,10,56,89,1139, 
03/01/18-18:10,10,62,86,1107, 
03/01/18-18:20,9,79,113,1474, 
03/01/18-18:30,9,74,110,1650, 
03/01/18-18:40,10,65,92,1133, 
03/01/18-18:50,9,61,84,1043, 
03/01/18-19:00,10,64,108,1286, 
03/01/18-19:10,11,62,100,1538, 
03/01/18-19:20,11,59,96,1138, 
03/01/18-19:30,11,72,101,1502, 
03/01/18-19:40,11,94,128,1774, 
03/01/18-19:50,12,95,113,1957, 
03/01/18-20:00,11,99,107,2003, 
03/01/18-20:10,12,100,102,1915, 
03/01/18-20:20,13,102,131,2149, 
03/01/18-20:30,11,95,138,2178, 
03/01/18-20:40,10,85,134,1842, 
03/01/18-20:50,11,85,99,1603, 
03/01/18-21:00,10,80,91,1443, 
03/01/18-21:10,11,59,80,885, 
03/01/18-21:20,11,55,72,972, 
03/01/18-21:30,10,54,72,964, 
03/01/18-21:40,10,61,88,1278, 
03/01/18-21:50,10,64,76,1441, 
03/01/18-22:00,10,66,80,1495, 
03/01/18-22:10,9,65,79,1607, 
03/01/18-22:20,11,58,68,1246, 
03/01/18-22:30,9,66,67,1524, 
03/01/18-22:40,10,68,82,1843, 
03/01/18-22:50,10,70,76,2016, 
03/01/18-23:00,9,68,78,1954, 
03/01/18-23:10,9,80,62,1775, 
03/01/18-23:20,9,96,74,1609, 
03/01/18-23:30,9,109,82,1933, 
03/01/18-23:40,9,95,76,1469, 
03/01/18-23:50,9,95,75,1513, 
04/01/18-00:00,9,87,70,1473, 
04/01/18-00:10,8,64,59,1053, 
04/01/18-00:20,8,54,49,787, 
04/01/18-00:30,8,48,51,820, 
04/01/18-00:40,8,49,56,806, 
04/01/18-00:50,7,46,57,816, 
04/01/18-01:00,8,46,52,934, 
04/01/18-01:10,7,46,50,816, 
04/01/18-01:20,7,45,48,896, 
04/01/18-01:30,8,46,51,1026, 
04/01/18-01:40,6,43,48,962, 
04/01/18-01:50,7,42,48,896, 
04/01/18-02:00,7,45,47,879, 
04/01/18-02:10,7,49,43,1185, 
04/01/18-02:20,8,51,46,1061, 
