FECHA-HORA,SO2,PART,NO2,CO,O3
01/01/17-00:10, ,30,27,533,32
01/01/17-00:20, ,30,23,485,36
01/01/17-00:30, ,30,24,501,34
01/01/17-00:40, ,34,28,559,29
01/01/17-00:50, ,34,35,545,24
01/01/17-01:00, ,39,38,569,24
01/01/17-01:10, ,38,38,573,22
01/01/17-01:20, ,32,41,553,22
01/01/17-01:30, ,29,40,508,22
01/01/17-01:40, ,27,41,477,26
01/01/17-01:50, ,23,29,447,32
01/01/17-02:00, ,25,30,449,27
01/01/17-02:10, ,25,34,458,26
01/01/17-02:20, ,23,33,448,27
01/01/17-02:30, ,22,31,428,30
01/01/17-02:40, ,21,26,416,34
01/01/17-02:50, ,21,24,415,34
01/01/17-03:00, ,20,25,418,33
01/01/17-03:10, ,18,23,373,35
01/01/17-03:20, ,18,21,368,37
01/01/17-03:30, ,18,20,365,36
01/01/17-03:40, ,16,19,337,38
01/01/17-03:50, ,16,17,345,40
01/01/17-04:00, ,17,16,367,39
01/01/17-04:10, ,16,17,356,39
01/01/17-04:20, ,16,18,330,39
01/01/17-04:30, ,14,16,308,42
01/01/17-04:40, ,14,16,313,42
01/01/17-04:50, ,14,16,312,41
01/01/17-05:00, ,14,16,306,40
01/01/17-05:10, ,15,16,302,40
01/01/17-05:20, ,15,15,312,41
01/01/17-05:30, ,15,14,325,40
01/01/17-05:40, ,14,16,313,40
01/01/17-05:50, ,14,15,300,41
01/01/17-06:00, ,14,14,292,41
01/01/17-06:10, ,14,16,288,39
01/01/17-06:20, ,14,15,281,40
01/01/17-06:30, ,14,15,266,40
01/01/17-06:40, ,14,16,264,39
01/01/17-06:50, ,14,14,253,40
01/01/17-07:00, ,14,14,248,41
01/01/17-07:10, ,14,15,263,39
01/01/17-07:20, ,15,23,269,33
01/01/17-07:30, ,16,23,253,34
01/01/17-07:40, ,16,20,258,38
01/01/17-07:50, ,17,17,253,38
01/01/17-08:00, ,17,16,245,39
01/01/17-08:10, ,18,21,271,33
01/01/17-08:20, ,19,24,281,32
01/01/17-08:30, ,17,20,254,36
01/01/17-08:40, ,16,19,259,37
01/01/17-08:50, ,15,19,244,38
01/01/17-09:00, ,15,20,233,38
01/01/17-09:10, ,14,23,251,35
01/01/17-09:20, ,14,19,231,40
01/01/17-09:30, ,13,24,239,38
01/01/17-09:40, ,12,23,231,39
01/01/17-09:50, ,11,21,235,43
01/01/17-10:00, ,11,20,227,40
01/01/17-10:10, ,11,23,242,38
01/01/17-10:20, ,10,26,234,38
01/01/17-10:30, ,11,22,226,43
01/01/17-10:40, ,12,22,238,39
01/01/17-10:50, ,13,25,250,39
01/01/17-11:00, ,14,32,264,36
01/01/17-11:10, ,15,33,287,36
01/01/17-11:20, ,17,31,256,45
01/01/17-11:30, ,17,28,248,56
01/01/17-11:40, ,15,15,211,70
01/01/17-11:50, ,16,18,219,68
01/01/17-12:00, ,16,19,237,67
01/01/17-12:10, ,20,23,235,64
01/01/17-12:20, ,20,22,263,67
01/01/17-12:30, ,20,20,235,70
01/01/17-12:40, ,20,20,235,72
01/01/17-12:50, ,20,21,242,72
01/01/17-13:00, ,19,20,246,74
01/01/17-13:10, ,19,20,239,75
01/01/17-13:20, ,20,17,236,77
01/01/17-13:30, ,21,19,235,74
01/01/17-13:40, ,21,21,246,75
01/01/17-13:50, ,21,20,238,78
01/01/17-14:00, ,23,19,245,78
01/01/17-14:10, ,24,27,281,74
01/01/17-14:20, ,22,19,236,80
01/01/17-14:30, ,19,17,222,83
01/01/17-14:40, ,20,16,224,81
01/01/17-14:50, ,23,20,232,80
01/01/17-15:00, ,23,21,229,79
01/01/17-15:10, ,23,22,237,78
01/01/17-15:20, ,22,19,236,82
01/01/17-15:30, ,22,18,245,82
01/01/17-15:40, ,21,16,234,85
